"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Lflavo2a001031",3352.3216586305,-0.835397660128522,0.151918840549834,-5.49897338016142,3.82008793481224e-08,5.51366025257901e-06
"Lflavo2a001076",4252.28063998753,-1.01056628380385,0.180212456888298,-5.60763834672224,2.05106048338997e-08,3.34649839449337e-06
"Lflavo2a001069",199.889069795059,-0.348998540614104,0.124522875141874,-2.80268617486124,0.00506789565722972,0.0497856625733789
"Lflavo2a008025",389.775977301162,-0.110468216934196,0.0382848085718535,-2.88543213496464,0.00390876724722577,0.0414749308852664
"Lflavo2a008023",1161.19647864059,-0.478008420053824,0.0864011337113,-5.53243226704683,3.15820414177553e-08,4.80473813893364e-06
"Lflavo2a009611",107.775997558939,-0.758070262359867,0.156359449593139,-4.84825358705489,1.24553119237409e-06,9.0465742991919e-05
"Lflavo2a009585",2937.92103714654,-0.71091499033978,0.236520938896904,-3.00571692999095,0.0026495552700661,0.0310069576199628
"Lflavo2a009650",94.7806025242116,-0.501073158073823,0.115372483357777,-4.34309068757724,1.40492104843437e-05,0.00057514913320997
"Lflavo2a009664",28.3411021695122,-0.43910870520316,0.12693711796278,-3.45926165845291,0.000541658425913839,0.00922540175331014
"Lflavo2a009620",304.592887296369,-0.740995023475652,0.180035393912673,-4.11582971199027,3.85789068059713e-05,0.0012269407670411
"Lflavo2a009573",1688.84523361412,-0.287574915268508,0.100554284209239,-2.8598971941375,0.00423778363000152,0.0438057810764917
"Lflavo2a009595",584.762689968724,-7.27857949755612,0.633033317593159,-11.4979406221932,1.35100403563174e-30,3.33689415189262e-27
"Lflavo2a009687",2612.67584629665,-0.311291740445516,0.0621452022117731,-5.00910334774875,5.46842043655984e-07,4.4611215416515e-05
"Lflavo2a009682",4619.02593194812,-0.224457306962808,0.0646684083707124,-3.47089579932297,0.00051872524854637,0.0089157386994428
"Lflavo2a013123",513.424933851459,-0.105977226891362,0.0371530874749179,-2.8524473763562,0.00433839949913567,0.0446450654124949
"Lflavo2a012848",872.995955385213,-0.12445423058919,0.0412314561050767,-3.01842918843379,0.00254088774589414,0.0303988461671373
"Lflavo2a012837",10.0736663496992,-0.925305572062351,0.220122229857154,-4.20359893983818,2.62704242324337e-05,0.000938896622249964
