"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene167",1277.04372758194,-0.101765291676889,0.0501475054752239,-2.02931911991449,0.0424257970973677,0.132383286640449
"gene166",509.212095388389,-0.0929433207278615,0.153004306517258,-0.607455586339185,0.543548608757504,0.709269482908223
"gene169",213.563759333004,0.155380137901219,0.102701434794906,1.51293054679823,0.130297301692772,0.284791536625985
"gene168",674.967721627174,-0.0267521977344966,0.0655625061028044,-0.4080411095413,0.683243494025332,0.813706386870954
"gene10142",1110.26083960292,-0.137621327214202,0.079873097110036,-1.72299976079067,0.0848885682950672,0.212152244954424
"gene10411",1814.46375876508,0.0562679004374164,0.125922842050315,0.446844270040645,0.654987504693178,0.792184323986093
"gene1749",647.398610406057,-0.163362457665257,0.0646593488726891,-2.52650947640858,0.0115202280395218,0.0527619551580735
"gene1748",267.339780454213,0.075513218889997,0.0601749135627856,1.25489534457258,0.20951675422706,0.391345115143468
"gene1747",19.3582122090945,-0.279410103716304,0.179925400564602,-1.55292194898286,0.120441782396054,0.269519700737565
"gene1746",495.219696207835,-0.308224977300737,0.164397714763733,-1.87487385541647,0.060810079615169,0.169633734781476
"gene1745",2319.91007930823,0.0674153843891946,0.141453555960125,0.476590241451396,0.633653933687705,0.775646176782282
"gene1744",96.1412061348463,-0.976257837534879,0.287523918617146,-3.39539695420895,0.000685291646449046,0.00646512705998643
"gene1743",1.33765107696229,-0.289500992694255,0.718043702014991,-0.403180185108302,0.686815675471661,0.815658309052446
"gene1742",11.4890235159401,-0.721039616531867,0.415290436907185,-1.7362297622399,0.082523216768857,0.208019334570314
"gene1741",8.334861895071,-0.875857134081844,0.368621933887975,-2.37603097798304,0.0174999935488232,0.0716145370770371
"gene1740",777.265816181368,-0.388759274448098,0.0890324162322685,-4.36649133989467,1.26258291398111e-05,0.000289496044546426
"gene9768",23.6654450893446,0.405653067970418,0.415340444688771,0.976676057335057,0.328729552082437,0.522985476812344
"gene9764",8.6499066067916,-1.59090802565029,0.965993241530776,-1.64691424044462,0.0995756744285582,0.236417891908017
"gene9767",13.7690036226385,0.418134858646259,0.507377348104371,0.824110221334214,0.409876932889274,0.599566502811865
"gene9761",1599.66765441617,0.104729915594514,0.163334266797179,0.641199900352588,0.521392814373203,0.693596538540335
"gene9760",844.514705008304,-0.368090431196335,0.268523570262852,-1.37079374758804,0.170439260577244,0.340448077439125
"gene9763",16.4516782123007,0.978113120977963,0.523188091412056,1.8695248172375,0.0615498342084736,0.171203918215536
"gene9762",1669.87108364637,-0.175531419007624,0.0625227231247073,-2.80748198790879,0.00499304720650482,0.0281340518186996
"gene5088",26.2494401236887,0.221626914938576,0.210434837537834,1.05318547789755,0.292255992847424,0.485991607625755
"gene5089",931.303322842015,0.0254996332268121,0.0498820746183637,0.511198329698672,0.609212188159685,0.757738543187261
"gene5080",3895.69995459836,0.173336148074704,0.0843847483320189,2.05411702352536,0.0399643667918611,0.126467427224008
"gene5081",403.668969207074,0.366570444384489,0.310013022447257,1.18243563283492,0.237032891513213,0.423981179387239
"gene5082",524.77724813761,0.211099317176293,0.0833738347338164,2.53196123040592,0.0113426531798181,0.0521422009559606
"gene5083",1702.6504788128,-0.0527386458208221,0.0745234792970429,-0.70767825547451,0.479145083754218,0.6598849536846
"gene5084",968.697815399739,-0.149903375087553,0.0908407217691388,-1.6501781598402,0.0989065024176014,0.235349677887505
"gene5085",285.994161548302,0.192296084150939,0.0911181693867459,2.11040328668972,0.03482363361875,0.114979047451142
"gene5086",115.325510594945,-0.228390475618883,0.222819967037319,-1.0250000422118,0.305363167748779,0.50011721736579
"gene5087",46.066003096102,-0.625052083521345,0.245977745010288,-2.54109201421943,0.0110506832867271,0.0511455122976031
"gene2500",1117.66645511805,0.0409231499795761,0.0436130743861768,0.938322981251391,0.348078452988362,0.542196214537379
"gene7021",13.346536805478,-0.618031960293617,0.273811036022322,-2.25714773689119,0.0239988448483088,0.0884020592318965
"gene2502",1354.92949746794,0.147127871651944,0.0611536778777628,2.40587118809159,0.0161339523738043,0.0674909761420168
"gene2503",3688.87139764518,-0.180672933422321,0.050421299298152,-3.58326611843069,0.000339324592087978,0.00378756973032178
"gene2504",1233.89864847438,0.00727905481575664,0.0742260782616459,0.0980660030306071,0.921879883019761,0.958393860671145
"gene2505",173.438546668276,0.0104403462555048,0.0788412900903132,0.132422316321123,0.89465026423901,0.944076295520917
"gene2506",1.16623745315418,-0.388091841563077,0.920990722231877,-0.421385180322552,0.67347383898167,0.806725609600407
"gene2507",175.885839921548,0.160002278660686,0.136660679361891,1.17079967264749,0.241679309441932,0.429003755176071
"gene2508",2.83694963830903,-0.850221537192731,0.696404822467167,-1.22087255826379,0.222134276035703,0.405784431410354
"gene2509",1.91472705256779,-0.513215690518169,0.800262387264975,-0.641309273914729,0.521321765064643,0.69358798044173
"gene2054",1331.64945474347,0.25563463589693,0.0731825953084422,3.49310699927364,0.000477435164710235,0.00497646475752948
"gene2055",1878.40100921568,0.118143425058432,0.0941481083863389,1.25486775128426,0.209526772566565,0.391345115143468
"gene2052",319.811830802229,-0.123814117101532,0.140323164341026,-0.882349807909322,0.377587669339335,0.570195167686354
"gene2053",16.806540791506,0.321863792373329,0.280517333899682,1.1473935956073,0.25121898690084,0.440330601795169
"gene3744",245.021553015253,-0.161862225348318,0.107536300447361,-1.50518685016088,0.132276044972914,0.287768760992959
"gene2051",590.638048087702,0.19727255245995,0.0521601316355646,3.78205626163418,0.000155538195209461,0.00207655097932631
"gene6210",54.3313789810455,0.328437489652542,0.150613227498834,2.18066829259791,0.0292079598862095,0.101824696790703
"gene6211",805.385073271918,0.0345784709667245,0.0803445592986954,0.430377256015217,0.666921237167834,0.801739563194034
"gene6212",252.970102940858,0.126423862693598,0.077740574282204,1.62622753769055,0.103901260116146,0.243616453928946
"gene6213",337.492497149895,0.165589459478254,0.0713166176277585,2.3218916570407,0.0202387701624328,0.0789869893833892
"gene6214",342.221578638102,-0.0229386479055523,0.0724501969639446,-0.316612636912055,0.751537545875247,0.857188823443301
"gene6215",454.662193813267,0.159113822590599,0.124997844732536,1.2729325288053,0.203041985141217,0.382763025729861
"gene6216",2189.43558822012,0.0778727195541577,0.0477414839525004,1.63113320129797,0.102862216378252,0.241549558215742
"gene6217",218.987184028259,0.0530281027614271,0.0875485255693378,0.605699552523351,0.544714281223608,0.710445090480463
